"ENTREZID","SYMBOL","GENENAME","X1.RD.dux4_no.dox_16hr_expt11.bam","X2.RD.dux4_with.dox_16hr_expt11.bam","X3.RD.dux4_no.dox_16hr_expt14.bam","X4.RD.dux4_with.dox_16hr_expt14.bam","X5.RD.dux4_no.dox_18hr_expt16.bam","X6.RD.dux4_with.dox_18hr_expt16.bam"
100288801,"FRG2C","FSHD region gene 2 family member C",36,10461,27,9261,59,9672
101060301,"HNRNPCL4","heterogeneous nuclear ribonucleoprotein C-like 4",27,9911,29,12629,32,9003
10482,"NXF1","nuclear RNA export factor 1",2339,86354,2154,89647,2540,77067
10739,"RFPL2","ret finger protein like 2",87,62385,65,70568,148,51659
162979,"ZNF296","zinc finger protein 296",183,10186,155,9750,217,9676
2353,"FOS","FBJ murine osteosarcoma viral oncogene homolog",153,13530,125,13353,221,13173
342900,"LEUTX","leucine twenty homeobox",18,11662,13,13421,23,11494
342933,"ZSCAN5B","zinc finger and SCAN domain containing 5B",47,15843,32,15519,74,14832
343069,"HNRNPCL1","heterogeneous nuclear ribonucleoprotein C-like 1",55,20739,29,25170,76,18763
440563,"HNRNPCL2","heterogeneous nuclear ribonucleoprotein C-like 2",41,19899,34,25211,54,18284
441581,"FRG2B","FSHD region gene 2 family member B",21,13792,16,15325,42,12470
448831,"FRG2","FSHD region gene 2",48,23462,27,26237,77,21198
503835,"DUXA","double homeobox A",69,72059,54,80820,103,63939
55138,"FAM90A1","family with sequence similarity 90 member A1",53,1447,51,1445,64,1708
5988,"RFPL1","ret finger protein like 1",60,47980,36,56630,88,40362
6477,"SIAH1","siah E3 ubiquitin protein ligase 1",195,7259,192,7811,227,6357
7764,"ZNF217","zinc finger protein 217",1864,71343,1650,74347,2057,62286
79149,"ZSCAN5A","zinc finger and SCAN domain containing 5A",248,6927,207,6730,252,6503
645425,"PRAMEF20","PRAME family member 20",35,9706,27,8609,60,7995
100288687,"DUX4","double homeobox 4",24,5030,19,6937,28,4994
